league_clubelo,league_538
ALB-0,
AND-0,
ARM-0,Armenian Premier League
AUT-1,Australian A-League
AZE-0,Azerbaijan Premyer Liqa
BEL-1,Belgian Jupiler League
BHZ-0,
BLR-1,
BUL-1,Bulgarian First League
CRO-1,Croatian First NL
CYP-0,Cypriot 1. Division
CZE-1,Czech Republic Czech Liga
DEN-1,Danish SAS-Ligaen
ENG-1,Barclays Premier League
ENG-2,English League Championship
ESP-1,Spanish Primera Division
ESP-2,Spanish Segunda Division
EST-0,
FAR-0,
FIN-0,Finnish Veikkausliiga
FRA-1,French Ligue 1
FRA-2,French Ligue 2
GEO-0,
GER-1,German Bundesliga
GER-2,German 2. Bundesliga
GIB-0,
GRE-1,Greek Super League
HUN-1,Hungarian NB I
IRL-0,Irish Premier Division
ISL-0,
ISR-1,Israelian Ligat Ha'al
ITA-1,Italy Serie A
ITA-2,Italy Serie B
KAZ-0,
KOS-0,Kosovan Superliga
LAT-0,Latvian Virsliga
LIE-0,
LIT-0,Lithuanian A Lyga
LUX-0,
MAC-0,
MLT-0,
MNT-0,
MOL-0,Moldovan Super Liga
NED-1,Dutch Eredivisie
NIR-0,
NOR-1,Norwegian Tippeligaen
POL-1,Polish Ekstraklasa
POR-1,Portuguese Liga
ROM-1,Romanian Liga 1
RUS-1,Russian Premier Liga
SCO-1,Scottish Premiership
SLK-0,Slovakian Super Liga
SMR-0,
SRB-1,Serbian Super Liga
SUI-1,Swiss Raiffeisen Super League
SVN-1,
SWE-1,Swedish Allsvenskan
TUR-1,Turkish Turkcell Super Lig
UKR-1,Ukranian Premier League
WAL-0,
